Mã khách hàng,Tên khách hàng,Channel,Customer Group,Customer Group 1,Customer Group 2,Sale Group
301427596000,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẠT MỸ,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
0303303148,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ LAM TÂN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
0304741634,CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
0310471746352,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH � CỬA HÀNG BÁCH HÓA XANH LONG AN,Modern Trade,Modern Trade,MINI MART,BHX,MT
0314212615,CÔNG TY TNHH KHOA HỌC TSL,Others,Other,Other,Other,Other
123XEO,1.2.3 XÈO,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
3FFOOD,CÔNG TY TNHH 3FFOOD,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
A DUNG,ANH DŨNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ABA,CÔNG TY CỔ PHẦN GIẢI PHÁP THƯƠNG MẠI ABA,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
AC&R,CÔNG TY TNHH THƯƠNG MẠI AC & R VIỆT NAM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ACHUNG,ANH CHUNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
AHUYBT,"NGƯỜI MUA KHÔNG CUNG CẤP TÊN, ĐỊA CHỈ, MÃ SỐ THUẾ",Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ALONG,ANH LONG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
AMINH,ANH MINH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANCO,CÔNG TY CP THỰC PHẨM GIA ĐÌNH ANCO,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
ANNAM,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMANPHU(THAODIEN),CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMESTELLA,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMFELIZENVISTA,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMGOURMETSAIGONCENTRE,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMHAIBATRUNG,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMLANDMARK81,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMNGUYENVANTROI,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMPHUMYHUNG,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMSAIGONPEARL,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMVOTRUONGTOAN,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANHCUONG,ANH CƯỜNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHHANH,ANH HẠNH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHHUNG,ANH HÙNG - GÒ ĐEN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHKHANG,ANH KHANG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHKHANH,ANH KHANH - MUA PHẾ PHẨM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHKHOI,ANH KHÔI,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHNAM,"NGƯỜI MUA KHÔNG CUNG CẤP TÊN, ĐỊA CHỈ, MÃ SỐ THUẾ",Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHNHA,ANH NHÃ,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHNHAT,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ THỰC PHẨM THÁI SƠN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHSANG,ANH SANG - QUẬN 12,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHSANGKHACHMOI,ANH SANG - Cầu Vượt Tân Thới Hiệp,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHTAM,ANH TÂM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHTOAN,ANH TOẢN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHTHAI,ANH THÁI,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHTHANG,"NGƯỜI MUA KHÔNG CUNG CẤP TÊN, ĐỊA CHỈ, MÃ SỐ THUẾ",Internal,Internal,Seasonal,Small Account,Internal Daily
ANHTHANH,ANH THANH - QUẬN 12,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHTRIEU,ĐỖ THÀNH TRIỆU,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
APHUONGGV,ANH PHƯƠNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
AQUOC,ANH QUỐC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ATRUNG,ANH TRUNG - BẾN LỨC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
AUCHANAUCO,CÔNG TY TNHH MTV MARFIVE,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANCAOTHANG,CÔNG TY TNHH MTV MARONE,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANDATMOI,CÔNG TY TNHH MTV MARONE,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANERAQ7,CÔNG TY TNHH MTV MARTWO,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANLACLONGQUAN(USEFUL),CÔNG TY TNHH MTV MARONE,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANLUYBANBICH,CÔNG TY TNHH MTV MARONE,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANMALO,CÔNG TY TNHH MTV MARONE,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANPHAMVANCHI,CÔNG TY TNHH MTV MARTWO,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANPHAMVANCHIEU,CHI NHÁNH CÔNG TY TNHH INTERNATIONAL SIMPLY MART,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANPHAMVANDONG,CÔNG TY TNHH MTV MARTHREE,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANTAYNINH,CN CÔNG TY TNHH MTV MARONE - TTMS GIẢI TRÍ AUCHAN TÂY NINH,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANTRANBINHTRONG,CÔNG TY TNHH INTERNATIONAL SIMPLY MART,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANTRUONGSON,CÔNG TY TNHH MTV MARTWO,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUCHANHOANGVANTHU,CÔNG TY TNHH MTV MARSIX,Modern Trade,Modern Trade,MTI MN,AU CHAN,MT
AUTOGRILLCAMRANH,Công ty CP Dịch vụ Sân bay Quốc tế Cam Ranh,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
AUTOGRILLDNT1,Cảng Hàng Không Quốc Tế Đà Nẵng-CN TCT Cảng Hàng Không Việt Nam-CTCP,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
AUTOGRILLDNT2,CHI NHÁNH CÔNG TY TNHH AUTOGRILL VFS F&B TẠI ĐÀ NẴNG,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
AUTOGRILLNB,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VIỆT GROUP,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
AUTOGRILLPQ,CẢNG HÀNG KHÔNG QUỐC TẾ PHÚ QUỐC - CHI NHÁNH TỔNG CÔNG TY CẢNG HÀNG KHÔNG VIỆT NAM - CTCP,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
AXUAN,ANH XUÂN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
BACHHOAXANH,CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH,Modern Trade,Modern Trade,MINI MART,BHX,MT
BANLE,"NGƯỜI MUA KHÔNG CUNG CẤP TÊN, ĐỊA CHỈ, MÃ SỐ THUẾ",Internal,Internal,Seasonal,Small Account,Internal Daily
BANGTANPHU,ANH BẰNG - TÂN PHÚ,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
BANHMIKEP2B,CÔNG TY TNHH AUTOGRILL VFS F&B,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BELTA,CÔNG TY TNHH DINH DƯỠNG BELTA,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
BIGBELLY,CÔNG TY TNHH BIG BELLY,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
BIGBOWL A5,CÔNG TY TNHH AUTOGRILL VFS F&B,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BIGBOWL D3,SASCO - TRUNG TÂM THƯƠNG MẠI SASCO TÂN SƠN NHẤT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BIGC,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
BIGCMIENDONG,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
BIGCPHUTHANH,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
BIGCTRUONGCHINH,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
BIGCHOANGVANTHU,CÔNG TY TNHH DỊCH VỤ EB,Modern Trade,Modern Trade,SUPERMARKET,GO/TOPS,MT
BINHTHY,CÔNG TY TNHH CHẾ BIẾN THƯƠNG MẠI DỊCH VỤ THỰC PHẨM BÌNH THY,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
BOKSOONNE,HỘ KINH DOANH BOKSOONNE,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BOKSOONNENTT,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ JOHNSON FAMILY,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BONCHONAEONTP,CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN BC CONCEPT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BONCHONDANANG,Công Ty TNHH BONCHON CENTRAL,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BONCHONNHABE,CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN BC CONCEPT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BONCHONPVTGOVAP,CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN BC CONCEPT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BONCHONQ1,NHÀ HÀNG BONCHON 3,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BONCHONQ5,NHÀ HÀNG BONCHON 5,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BONCHONVANHANHMALL,CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN BC CONCEPT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
BUIPHUOCTHINH,BÙI PHƯỚC THỊNH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CANH,CHỊ ÁNH - CHỢ BÌNH ĐIỀN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CAUTRE,CÔNG TY CỔ PHẦN THỰC PHẨM CJ CẦU TRE,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
CBAC,CHỊ BẮC,Internal,Internal,Seasonal,Small Account,Internal Daily
CCHAN,CHỊ CHÂN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CDONG,CHỊ ĐỒNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CFF,CÔNG TY TNHH THỰC PHẨM NGON CỔ ĐIỂN,Horeca,Horeca,Horeca,Trader,Horeca LBC
CFOOD,CÔNG TY TNHH C-FOOD,Horeca,Horeca,Horeca,Trader,Horeca LBC
CJMINHDAT,CÔNG TY CỔ PHẦN THỰC PHẨM CJ MINH ĐẠT,Modern Trade,Modern Trade,MTI MN,Other,MT
CKK,Nhà hàng Chang Kang Kung,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
CNHI,CHỊ NHI- CTY TNHH ONESTAR MEAT,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
COGIAU,CÔ GIÀU,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
COMAI,CÔ MAI,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
COMGAGIABAOGODAU,TIỆM CƠM GÀ GIA BẢO - GÒ DẦU,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
COMGAGIABAOLETRONGTAN,TIỆM CƠM GÀ GIA BẢO - LÊ TRỌNG TẤN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
COMGAHAINAM,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TƯ VẤN ĐẠI DƯƠNG ĐỎ,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
COMMA,CÔNG TY TNHH DỊCH VỤ COMMA,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
COOPMART,LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTBENLUC,CN LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART BẾN LỨC,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTBENTRE,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH- CO.OPMART BẾN TRE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTBINHTHUY,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART BÌNH THỦY,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTCAILAY,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM - CO.OPMART CAI LẬY,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTCAMAU,CÔNG TY TNHH MỘT THÀNH VIÊN CO.OPMART CÀ MAU,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTCAOLANH,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART CAO LÃNH,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTCONGQUYNH,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP CỐNG QUỲNH,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTCHAUDOC,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH-CO.OPMART CHÂU ĐỐC,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTDOVANDAY,CN LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART ĐỖ VĂN DẬY,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTFINELIFEHADO,CÔNG TY TNHH MỘT THÀNH VIÊN CO.OP FINELIFE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTFINELIFERIVIERAPO,CÔNG TY TNHH MỘT THÀNH VIÊN CO.OP FINELIFE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTFINELIFESAIGONMIA,CÔNG TY TNHH MỘT THÀNH VIÊN CO.OP FINELIFE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTFINELIFEURBANHILL,CÔNG TY TNHH MỘT THÀNH VIÊN CO.OP FINELIFE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTFOODCOSA,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐỒNG THỊNH,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTFOODLETHIHA2,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM SÀI GÒN CO.OP,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTGOCONG,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART GÒ CÔNG,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTGOVAP(PHANVANTRI),CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP GÒ VẤP,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTKIENGIANG,CÔNG TY TNHH TM SÀI GÒN- KIÊN GIANG,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTLIENHIEP,LIÊN HIỆP HTX THƯƠNG MẠI THÀNH PHỐ HỒ CHÍ MINH,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTLYTHUONGKIET,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SAIGON CO.OP TOÀN TÂM,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTMYTHO,CÔNG TY TNHH TMDV TIỀN GIANG - SÀI GÒN,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTNGUYENANHTHU,CÔNG TY TNHH TMDV TRUNG MỸ TÂY,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTNGUYENBINH,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART NGUYỄN BÌNH,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTNGUYENDINHCHIEU,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP ĐÌNH CHIỂU,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTNGUYENKIEM,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP PHÚ NHUẬN,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTNHIEULOC,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP NHIÊU LỘC,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTPHAMHUULAU,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM SÀI GÒN CO.OP,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTPHANVANHON,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP THẮNG LỢI,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTPHULAM,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP PHÚ LÂM,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTPHUTHO,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP ĐẦM SEN,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTSCAAUCO,CÔNG TY TNHH MỘT THÀNH VIÊN MARFIVE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTSCAHOANGVANTHU,CÔNG TY TNHH MỘT THÀNH VIÊN MARSIX,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTTANAN,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART TÂN AN,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTTANCHAUANGIANG,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART TÂN CHÂU AN GIANG,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTTANCHAUTAYNINH,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART TÂN CHÂU,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTTIEUCAN,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART TIỂU CẦN,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTTHANGLOI,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP THẮNG LỢI,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTTHAPMUOI,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART THÁP MƯỜI,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTTHOTNOT,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH-CO.OPMART THỐT NỐT,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTTRAVINH,CÔNG TY TNHH TMDV SÀI GÒN-TRÀ VINH,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTVANTHANH,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH - CO.OPMART VĂN THÁNH,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTVINHLONG,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI SÀI GÒN - VĨNH LONG,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTXALOHANOI,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP XA LỘ HÀ NỘI,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTHAUGIANG,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP HẬU GIANG,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTHONGNGU,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH-CO.OPMART HỒNG NGỰ,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTHUYNHTANPHAT,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP NAM SÀI GÒN,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTRACHGIA,CÔNG TY TNHH TM SÀI GÒN CO.OP RẠCH GIÁ,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPMARTRACHMIEU,CÔNG TY TNHH MỘT THÀNH VIÊN SÀI GÒN CO.OP RẠCH MIỄU,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPXTRA,CÔNG TY TNHH SAIGON CO-OP FAIRPRICE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPXTRALINHTRUNG,CÔNG TY TNHH SAIGON CO-OP FAIRPRICE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPXTRAPREMIUM,CÔNG TY TNHH ĐẦU TƯ VÀ KINH DOANH SIÊU THỊ Á CHÂU,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPXTRAPHAMVANDONG,CÔNG TY TNHH SAIGON CO-OP FAIRPRICE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPXTRASUVANHANH,CÔNG TY TNHH SAIGON CO-OP FAIRPRICE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COOPXTRATANPHONG,CÔNG TY TNHH SAIGON CO-OP FAIRPRICE,Modern Trade,Modern Trade,SUPERMARKET,CO.OP MART,MT
COSOCHALUATHUTRANG,CƠ SỞ CHẢ LỤA THU TRANG,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
COSOSANXUATLUUVANTOAN,LƯU VĂN TOÀN,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
COSOSONNAM,CƠ SỞ SƠN NAM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
COTRUC,CÔ TRÚC,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CP-CN3,CÔNG TY CỔ PHẦN CHĂN NUÔI CP VIỆT NAM – CHI NHÁNH 3 TẠI THÀNH PHỐ HỒ CHÍ MINH,Gia Cong,Gia Cong,Gia Cong,Gia Cong,Gia Cong
CPVN,CÔNG TY CỔ PHẦN CHĂN NUÔI C.P. VIỆT NAM - CHI NHÁNH NM 6 TẠI ĐỒNG NAI,Gia Cong,Gia Cong,Gia Cong,Gia Cong,Gia Cong
CTHUY,CHỊ THỦY,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CUOREITALIA,CÔNG TY CỔ PHẦN THỰC PHẨM CUORE ITALIA,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
CHACATHUTRANG,CHẢ CÁ THU TRANG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHAMPIONS,"NGƯỜI MUA KHÔNG CUNG CẤP TÊN, ĐỊA CHỈ, MÃ SỐ THUẾ",Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
CHAOCHICKEN,CHÀO  CHICKEN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
CHEFMEAT-VN,CÔNG TY CỔ PHẦN CHEF MEAT VIỆT NAM,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
CHERRYANHDAO,DOANH NGHIỆP TƯ NHÂN CHERRY ANH ĐÀO,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHI MAI,CHỊ MAI - NHÀ BÈ,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
CHICKEN PLUS,CÔNG TY CỔ PHẦN BARUN VINA,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
