"MATERIAL","LANGU","TXTMD"
"BPUY200008","E","Phuy đựng dung môi 200l ,08 ly"
"BPUY2000L1","E","Phuy đựng dung môi 200l ,1ly"
"BPWIN10025","E","BB PWIN 1,25kg"
"BPWIN20025","E","BB PWIN2,25kg"
"BPWIN30025","E","BB TAHH cho heo cai sữa (từ 11 – 23 kg),"
"BRMGC00040","E","BB đựng premix - gia cầm,40kg"
"BRMHC00025","E","BB đựng premix - heo con,25kg"
"BRMHC00040","E","BB đựng premix - heo con,40kg"
"BRMHN00040","E","BB đựng premix - heo nái,40kg"
"BRMHT00040","E","BB đựng premix - heo thịt,40kg"
"BRMTS00025","E","BB đựng premix - thủy sản,25kg"
"BRMTS00040","E","BB đựng premix - thủy sản,40kg"
"BS61060025","E","BB cao cấp cá rô phi SW (dưới 5g),25kg"
"BS61060B10","E","BB TA CC cá rô phi SW (dưới 5g),10kg,BLD"
"BS61060B25","E","BB TA CC cá rô phi SW (dưới 5g),25kg,BLD"
"BS61061025","E","BB CC cá rô phi (<5g),25kg, 60cmx98cm"
"BS61062025","E","BB CC cá rô phi (<5g),25kg, 65cmx105cm"
"BS61160025","E","BB cao cấp cá rô phi SW (5-20g),25kg"
"BS61260025","E","BB cao cấp cá rô phi SW (20-100g),25kg"
"BS61360025","E","BB cao cấp cá rô phi SW (100-200g),25kg"
"BS61460025","E","BB cao cấp cá rô phi SW (200-500g),25kg"
"BS61560025","E","BB cao cấp cá rô phi SW (>500g),25kg"
"BS62560025","E","BB viên nổi cá da trơn trên 700kg,25kg"
"BS6256C025","E","BB viên nổi cá da trơn >700kg,25kg,CBD"
"BS63060010","E","BB CC cá tra-cá basa SW(dưới 1g),10kg"
"BS63160025","E","BB CC cá tra và cá basa SW(1-5g),25kg"
"BS63260025","E","BB CC cá tra và cá basa SW(5-20g),25kg"
"BS63260040","E","BB CC cá tra và cá basa SW(5-20g),40kg"
"BS63261025","E","BB CC cá tra-basa SW(5-20g),25kg,60cmx10"
"BS63262025","E","BB CC cá tra-basa SW(5-20g),25kg,60cmx11"
"BS6326HF25","E","BB S6326HF,25kg"
"BS6326HF40","E","BB S6326HF,40kg"
"BS63360040","E","BB CC cá tra-cá basa SW(20-200g),40kg"
"BS6336HF40","E","BB TACC cá tra, cá basa (200-1000g),40kg"
"BS63460040","E","BB CC cá tra-cá basa SW(200-500g),40kg"
"BS64360025","E","BB TA CC cá trắm&cá chép(>100g),25kg, SW"
"BS64460025","E","BB TA CC cá trắm&cá chép(>500g),25kg, SW"
"BS65060010","E","BB cao cấp cá kèo SW(dưới 1g),10kg"
"BS65060025","E","BB TA CC cho cá kèo (cá giống <1g) ,25kg"
"BS65160025","E","BB cao cấp cá kèo SW(1-5g),25kg"
"BS65260025","E","BB cao cấp cá kèo SW (5-20g),25kg"
"BS65360025","E","BB cao cấp cá kèo ( 8-20g),25kg"
"BS66460025","E","BB cao cấp ếch SW (> 400g),25kg"
"BS67060010","E","BB cao cấp cá lóc (ca<100g),10kg"
"BS67060025","E","BB cao cấp cá lóc SW (ca<100g),25kg"
"BS67160025","E","BB cao cấp cá lóc SW (100-300g),25kg"
"BS67161025","E","BB CC cá lóc SW(100-300g),25kg,60cmx98cm"
"BS67162025","E","BB CC cá lóc SW(100-300g),25kg,65cmx103c"
"BS68360025","E","BB TA CC cá rô đồng (50-100g), 25kg, SW"
"BS68560025","E","BB cao cấp cá rô phi sw(20 - 200g),25kg"
"BV11400025","E","BB TAHH cho vịt con, 25kg"
"BV12400025","E","BB TAHH cho vịt siêu thịt, 25kg"
"BV124E0025","E","BB TAHH cho vịt, ngan thịt (22 ngày- XB)"
"BV24400025","E","BB TAHH cho vịt siêu trứng, 25kg"
"BV24400040","E","BB TAHH vịt đẻ siêu trứng, 40kg"
"C11120V1M001","E","TA HH gà thịt thương phẩm (1-21 ngày)"
"C11120V1M025","E","TA HH gà thịt thương phẩm (1-21 ngày)"
"C11120V3M001","E","TA HH gà thịt thương phẩm (1-21 ngày),xá"
"C11120V3M025","E","TA HH gà thịt thương phẩm (1-21 ngày)"
"C1112AV1M001","E","TA HH cho gà thịt (1-28 ngày)"
"C1112AV1M025","E","TA HH cho gà thịt (1-28 ngày)"
"C1112AV3M025","E","TA HH cho gà thịt (1-28 ngày)"
"C1112AVBM025","E","TA HH cho gà thịt (1-15 ngày)"
"C1112AVBP025","E","TA HH cho gà thịt (16-28 ngày)"
"C1112SV1M025","E","TA HH gà thịt thương phẩm (15-28 ngày)"
"C11240V1P001","E","TA HH gà thịt thương phẩm (22-35 ngày)"
"C11240V1P025","E","TA HH gà thịt thương phẩm (22-35 ngày)"
"C11240V3P001","E","TA HH gà thịt thương phẩm (22-35 ngày)"
"C11240V3P025","E","TA HH gà thịt thương phẩm (22-35 ngày)"
"C11240V5P025","E","TA HH gà thịt thương phẩm (22-35 ngày)"
"C1124AV1P001","E","TA HH cho gà thịt (29-55 ngày)"
"C1124AV1P025","E","TA HH cho gà thịt (29-55 ngày)"
"C1124AV2P001","E","TA HH cho gà thịt (29-55 ngày)"
"C1124AV2P025","E","TA HH cho gà thịt (29-55 ngày)"
"C1124AV2P030","E","TA HH cho gà thịt (29-55 ngày)"
"C1124AV2P040","E","TA HH cho gà thịt (29-55 ngày)"
"C1124AV3P025","E","TA HH cho gà thịt (29-55 ngày)"
"C1124AV4P001","E","TA HH cho gà thịt (29-55 ngày)"
"C1124AV4P025","E","TA HH cho gà thịt (29-55 ngày)"
"C1124AV4P040","E","TA HH cho gà thịt (29-55 ngày)"
"C1124AVBP025","E","TA HH cho gà thịt (29-55 ngày)"
"C11340V1P001","E","TA HH gà thịt thương phẩm (35n-x.chuồng)"
"C11340V1P025","E","TA HH gà thịt thương phẩm (35-x.chuồng)"
"C1134AV1P001","E","TA HH cho gà thịt (56n-x.chuồng)"
"C1134AV1P025","E","TA HH cho gà thịt (56n-x.chuồng)"
"C1134AV2P001","E","TA HH cho gà thịt (56n-x.chuồng)"
"C1134AV2P030","E","TA HH cho gà thịt (56n-x.chuồng)"
"C1134AV2P040","E","TA HH cho gà thịt (56n-x.chuồng)"
"C1134AVBP025","E","TA HH cho gà thịt (56n-x.chuồng)"
"C11600L1B025","E","TA ĐĐ gà thịt thương phẩm (1-x.chuồng)"
"C11600V1B025","E","TA ĐĐ gà thịt thương phẩm(1ngày-xchuồng)"
"C12100V1B025","E","TA HH gà con hướng trứng TP (từ 1-7tuần)"
"C12120M1M025","E","TA HH gà con giống (1 ngày-8 tuần)"
"C12120V1M001","E","TA HH gà con hướng trứng TP (từ 1-7tuần)"
"C12120V1M025","E","TA HH gà con hướng trứng TP (từ 1-7tuần)"
"C12120V3M001","E","TA HH gà con hướng trứng TP (từ 1-7tuần)"
"C12120V3M025","E","TA HH gà con hướng trứng TP (từ 1-7tuần)"
"C12200V1B001","E","TA HH gà đẻ hậu bị, dạng bột (8-18tuần)"
"C12200V1B025","E","TA HH gà đẻ hậu bị, dạng bột (8-18tuần)"
"C12200V3B001","E","TA HH gà đẻ hậu bị, dạng bột (8-18tuần)"
"C12200V3B025","E","TA HH gà đẻ hậu bị, dạng bột (8-18tuần)"
"C12220M1M025","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220V1M001","E","TA HH gà đẻ hậu bị (8-18 tuần),xá"
"C12220V1M025","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220V1P001","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220V1P025","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220V2M030","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220V3M001","E","TA HH gà đẻ hậu bị (8-18 tuần), xá"
"C12220V3M025","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220V3P001","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220V3P025","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220V5M001","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220V5M025","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220VAM001","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12220VAM025","E","TA HH gà đẻ hậu bị (8-18 tuần)"
"C12240M1P025","E","TA HH gà đẻ hậu bị, dạng viên(8-18tuần)"
"C12240V1P025","E","TA HH gà đẻ hậu bị, dạng viên(8-18tuần)"
"C12300V1B025","E","TA HH gà ri đẻ trứng, dạng bột"
"C12320T1P025","E","TA HH gà ri đẻ trứng (16 tuần trở lên)"
"C12320V1M025","E","TA HH gà ri đẻ trứng"
"C12320V1P001","E","TA HH gà ri đẻ trứng (16 tuần trở lên)xá"
"C12320V1P025","E","TA HH gà ri đẻ trứng (16 tuần trở lên)"
"C12320V3P001","E","TA HH gà ri đẻ trứng (16 tuần trở lên)"
"C12320V3P025","E","TA HH gà ri đẻ trứng (16 tuần trở lên)"
"C12340V1P025","E","TA HH gà ri đẻ trứng, dạng viên"
"C12400V1B001","E","TA HH gà đẻ thương phẩm (>18 tuần),xá"
"C12400V1B025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12400V3B001","E","TA HH gà đẻ thương phẩm (>18 tuần), xá"
"C12400V3B025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12400V5B001","E","TA HH gà đẻ thương phẩm (>18 tuần),xá"
"C12400V5B025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C1240PV1B001","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1240PV1B025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1240PV3B001","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1240PV3B025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1240PV5B001","E","TA HH gà đẻ thương phẩm (>18 tuần), Plus"
"C1240PV5B025","E","TA HH gà đẻ thương phẩm (>18 tuần), Plus"
"C1240PVAB025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C12420M1M025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12420V1M001","E","TA HH gà đẻ thương phẩm (>18 tuần), xá"
"C12420V1M025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12420V1P001","E","TA HH gà đẻ thương phẩm (>18 tuần),xá"
"C12420V1P025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12420V3M001","E","TA HH gà đẻ thương phẩm (>18 tuần),xá"
"C12420V3M025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12420V3P001","E","TA HH gà đẻ thương phẩm (>18 tuần),xá"
"C12420V3P025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12420V5M001","E","TA HH gà đẻ thương phẩm (>18 tuần),xá"
"C12420V5M025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12420V5P001","E","TA HH gà đẻ thương phẩm (>18 tuần),xá"
"C12420V5P025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C1242PT1P025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PV1M001","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PV1M025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PV1P025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PV3B001","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PV3M001","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PV3M025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PV3P025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PV5M001","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PV5M025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PVAM025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1242PVAP025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C12440M1P025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12440V1P025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12440V3P025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12440V5P001","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C12440V5P025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C1244PT1P025","E","TA HH gà đẻ thương phẩm (>18w), plus"
"C1244PV1P001","E","TA HH gà đẻ thương phẩm (>18 tuần), Plus"
"C1244PV1P025","E","TA HH gà đẻ thương phẩm (>18 tuần), plus"
"C1244PV3P001","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C1244PV3P025","E","TA HH gà đẻ thương phẩm (>18 tuần)"
"C1244PV5P001","E","TA HH gà đẻ thương phẩm (>18 tuần), Plus"
"C1244PV5P025","E","TA HH gà đẻ thương phẩm (>18 tuần), Plus"
"C1244PVAP001","E","TA HH gà đẻ thương phẩm (>18 tuần), Plus"
"C1244PVAP025","E","TA HH gà đẻ thương phẩm (>18 tuần), Plus"
"C12600V1B025","E","TA ĐĐ gà đẻ trứng thương phẩm (>18tuần)"
"C13120V1M005","E","TA HH gà thả vườn lông màu (1-30 ngày)"
"C13120V1M025","E","TA HH gà thả vườn lông màu (1-30 ngày)"
"C13120V1P005","E","TA HH gà thả vườn lông màu (1-30 ngày)"
"C13120V1P025","E","TA HH gà thả vườn lông màu (1-30 ngày)"
"C13120V3M025","E","TA HH gà thả vườn lông màu (1-30 ngày)"
"C13240V1P005","E","TA HH gà thả vườn lông màu (>30 ngày)"
"C13240V1P025","E","TA HH gà thả vườn lông màu (>30 ngày)"
"C13240V3P025","E","TA HH gà thả vườn lông màu (>30 ngày)"
"C14120V1M025","E","TA HH gà tre (1-21 ngày tuổi)"
"C14240V1P025","E","TA HH gà tre (22-42 ngày tuổi)"
"C14240V3P025","E","TA HH gà tre (22-42 ngày tuổi)"
"C14340V1P025","E","TA HH gà tre (43 ngày - x.chuồng)"
"C14340V3P025","E","TA HH gà tre (43 ngày - x.chuồng)"
"C15420V1M025","E","TA HH gà ác-gà tre đẻ trứng (>18w)"
"C15440V1P025","E","TA HH gà ác-gà tre đẻ trứng (>18w)"
"C1544PV1P025","E","TA HH gà ác-gà tre đẻ trứng (>18w)"
"C1544PVAP001","E","TA HH gà ác-gà tre đẻ trứng (>18w), Plus"
"C1544PVAP025","E","TA HH gà ác-gà tre đẻ trứng (>18w), Plus"
"C18540V1P001","E","TA HH cho gà giống bố mẹ h.thịt (GĐ đẻ)"
"C18540V1P025","E","TA HH cho gà giống bố mẹ h.thịt (GĐ đẻ)"
"C18540V3P025","E","TA HH cho gà giống bố mẹ h.thịt (GĐ đẻ)"
"C21100L1B025","E","TA HH cút con (1-35 ngày)"
"C21100T1B025","E","TA HH cút con (1-35 ngày)"
"C21100V1B025","E","TA HH cút con (1-35 ngày)"
"C21100V3B025","E","TA HH cút con (1-35 ngày)"
"C21200L1B025","E","TA HH cút đẻ (>35 ngày)"
"C21200T1B025","E","TA HH cút đẻ (>35 ngày)"
"C21200V1B025","E","TA HH cút đẻ (>35 ngày)"
"C21200V3B025","E","TA HH cút đẻ (>35 ngày)"
"C21200V5B025","E","TA HH cút đẻ (>35 ngày)"
"C23100V1B025","E","TA HH cút con (1-35 ngày)"
"C31140V1P025","E","TA HH vịt con (1-21 ngày)"
"C31140V3P025","E","TA HH vịt con (1-21 ngày)"
"C3114PV1P001","E","TA HH vịt con (1-21 ngày), Plus"
"C3114PV1P025","E","TA HH vịt con (1-21 ngày), plus"
"C3114PV3P001","E","TA HH vịt con (1-21 ngày), Plus"
"C3114PV3P025","E","TA HH vịt con (1-21 ngày), Plus"
"C3114PVAP001","E","TA HH vịt con (1-21 ngày), Plus"
"C3114PVAP025","E","TA HH vịt con (1-21 ngày), Plus"
"C3114SL1P025","E","TA HH vịt con (1-21 ngày)"
"C3114SV1P025","E","TA HH vịt, ngan con (1-21 ngày)"
"C31240V1P025","E","TA HH vịt thịt (22-42 ngày)"
"C31240V1P040","E","TA HH vịt thịt (22-42 ngày)"
"C31240V3P025","E","TA HH vịt thịt (22-42 ngày)"
"C31240V3P040","E","TA HH vịt thịt (22-42 ngày)"
"C31240V5P025","E","TA HH vịt thịt (22-42 ngày)"
"C31240V5P040","E","TA HH vịt thịt (22-42 ngày)"
"C3124EV1P025","E","TA HH vịt, ngan thịt (22 ngày-x.chuồng)"
"C3124PV1P001","E","TA HH vịt (22 ngày-x.chuồng), plus"
"C3124PV1P025","E","TA HH vịt (22 ngày-x.chuồng), plus"
"C3124PV1P040","E","TA HH vịt (22 ngày-x.chuồng), Plus"
"C3124PV3P001","E","TA HH vịt (22 ngày-x.chuồng), Plus"
"C3124PV3P025","E","TA HH vịt (22 ngày-x.chuồng), plus"
"C3124PV5P025","E","TA HH vịt (22 ngày-x.chuồng), plus"
"C3124PV5P040","E","TA HH vịt (22 ngày-x.chuồng), plus"
"C3124PVAP001","E","TA HH vịt (22 ngày-x.chuồng), Plus"
"C3124PVAP025","E","TA HH vịt (22 ngày-x.chuồng), Plus"
"C3124SL1P025","E","TA HH vịt (22 ngày-x.chuồng)"
"C3124SV1P025","E","TA HH vịt (22 ngày-x.chuồng)"
"C3124SV3P025","E","TA HH vịt (22 ngày-x.chuồng)"
"C3124SV5P025","E","TA HH vịt thịt (22-42 ngày)"
"C31340V1P025","E","TA HH vịt thịt (43 ngày- x.chuồng)"
"C31440L1P040","E","TA HH vịt đẻ (>18 tuần)"
"C31440V1P025","E","TA HH vịt đẻ (>18 tuần)"
"C31440V1P040","E","TA HH vịt đẻ (>18 tuần)"
"C31440V3P025","E","TA HH vịt đẻ (>18 tuần)"
"C3144PV1P001","E","TA HH vịt đẻ (>18 tuần), Plus"
"C3144PV1P025","E","TA HH vịt đẻ (>18 tuần), Plus"
"C3144PV1P040","E","TA HH vịt đẻ (>18 tuần), Plus"
"C3144PV3P025","E","TA HH vịt đẻ (>18 tuần), Plus"
"C31540T1P025","E","TA HH vịt đẻ trứng siêu thịt (>20 tuần)"
"C31540V1P001","E","TA HH vịt đẻ trứng siêu thịt (>20 tuần)"
"C31540V1P025","E","TA HH vịt đẻ trứng siêu thịt (>20 tuần)"
"C31540V1P040","E","TA HH vịt đẻ trứng siêu thịt (>20 tuần)"
"C31540V3P025","E","TA HH vịt đẻ trứng siêu thịt (>20 tuần)"
"C32240V1P025","E","TA HH cho vịt đẻ hậu bị (Từ 40ngày tuổi)"
"C32240V1P040","E","TA HH cho vịt đẻ hậu bị (Từ 40ngày tuổi)"
"C3224PV1P001","E","TA HH cho vịt đẻ hậu bị (Từ 40ngày tuổi)"
"C3224PV1P025","E","TA HH cho vịt đẻ hậu bị (Từ 40ngày tuổi)"
"C32440T1P025","E","TA HH vịt đẻ siêu trứng (>18w)"
"C32440V1P001","E","TA HH vịt đẻ siêu trứng (>18w)"
"C32440V1P025","E","TA HH vịt đẻ siêu trứng (>18w)"
"C32440V1P040","E","TA HH vịt đẻ siêu trứng (>18w)"
"C32440V3P001","E","TA HH vịt đẻ siêu trứng (>18w)"
"C32440V3P025","E","TA HH vịt đẻ siêu trứng (>18w)"
"C60360V1E025","E","TA CC cá lăng 100g - 2000g , 4li"
"C60360V1G025","E","TA CC cá lăng 100g - 2000g , 6li"
"C60460V1E025","E","TA CC cá lăng 2000g - xuất bán , 4li"
"C60460V1G025","E","TA CC cá lăng 2000g - xuất bán , 6li"
"C61060B1A610","E","TA CC cá rô phi (<5g), 0.6li"
"C61060B1A825","E","TA CC cá rô phi (<5g), 0.8li"
"C61060B1B025","E","TA CC cá rô phi (<5g), 1li"
"C61060B1B525","E","TA CC cá rô phi (<5g), 1.5li"
"C61060B1G025","E","TA CC cá rô phi (<5g), 6li"
"C61060B1I025","E","TA CC cá rô phi (<5g), 8li"
"C61060C1B025","E","TA CC cá rô phi (<5g), 1li"
"C61060C1C025","E","TA CC cá rô phi (<5g), 2li"
"C61060C1D025","E","TA CC cá rô phi (<5g), 3li"
"C61060C1E025","E","TA CC cá rô phi (<5g), 4li"
"C61060C1G025","E","TA CC cá rô phi (<5g), 6li"
"C61060C1I025","E","TA CC cá rô phi (<5g), 8li"
"C61060C1K025","E","TA CC cá rô phi (<5g), 10li"
"C61060G1A610","E","TA CC cá rô phi (<5g), 0.6li"
"C61060G1A825","E","TA CC cá rô phi (<5g), 0.8li"
"C61060G1B025","E","TA CC cá rô phi (<5g), 1li"
"C61060L1B025","E","TA CC cá rô phi (<5g), 1li"
"C61060M1B025","E","TA CC cá rô phi (<5g), 1li"
"C61060M1B525","E","TA CC cá rô phi (<5g), 1.5li"
"C61060M1C025","E","TA CC cá rô phi (<5g), 2li"
"C61060M1D025","E","TA CC cá rô phi (<5g), 3li"
"C61060M1E025","E","TA CC cá rô phi (<5g), 4li"
"C61060M1G025","E","TA CC cá rô phi (<5g), 6li"
"C61060M1I025","E","TA CC cá rô phi (<5g), 8li"
"C61060M1K025","E","TA CC cá rô phi (<5g), 10li"
"C61060V1A610","E","TA CC cá rô phi (<5g), 0.6li"
"C61060V1A625","E","TA CC cá rô phi (<5g), 0.6li"
"C61060V1A825","E","TA CC cá rô phi (<5g), 0.8li"
"C61060V1B025","E","TA CC cá rô phi (<5g), 1li"
"C61060V1B525","E","TA CC cá rô phi (<5g), 1.5li"
"C61060V1C025","E","TA CC cá rô phi (<5g), 2li"
"C61060V1D025","E","TA CC cá rô phi (<5g), 3li"
"C61060V1E025","E","TA CC cá rô phi (<5g), 4li"
"C61060V1G025","E","TA CC cá rô phi (<5g), 6li"
"C61060V1I025","E","TA CC cá rô phi (<5g), 8li"
"C61060V1K025","E","TA CC cá rô phi (<5g), 10li"
"C61060V1M010","E","TA CC cá rô phi (<5g), bột"
"C61060V3B525","E","TA CC cá rô phi (<5g), 1.5li"
"C61060V3C025","E","TA CC cá rô phi (<5g), 2li"
"C61060V3D025","E","TA CC cá rô phi (<5g), 3li"
"C61060V3E025","E","TA CC cá rô phi (<5g), 4li"
"C61060V3G025","E","TA CC cá rô phi (<5g), 6li"
"C61060V3I025","E","TA CC cá rô phi (<5g), 8li"
"C61060V3K025","E","TA CC cá rô phi (<5g), 10li"
"C61160C1B525","E","TA CC cá rô phi (5-20g), 1.5li"
"C61160L1B525","E","TA CC cá rô phi (5-20g), 1.5li"
"C61160M1B025","E","TA CC cá rô phi (5-20g), 1li"
"C61160T1B025","E","TA CC cá rô phi (5-20g), 1li"
"C61160T1B525","E","TA CC cá rô phi (5-20g), 1.5li"
"C61160T1D025","E","TA CC cá rô phi (5-20g), 3li"
"C61160V1B025","E","TA CC cá rô phi (5-20g), 1li"
"C61160V1B525","E","TA CC cá rô phi (5-20g), 1.5li"
"C61160V1C025","E","TA CC cá rô phi (5-20g), 2li"
"C61160V1D025","E","TA CC cá rô phi (5-20g), 3li"
"C61160V1K025","E","TA CC cá rô phi (5-20g), 10li"
"C61260C1C025","E","TA CC cá rô phi (20-100g), 2li"
"C61260G1C025","E","TA CC cá rô phi (20-100g), 2li"
"C61260H1C025","E","TA CC cá rô phi (20-100g), 2li"
"C61260H1D025","E","TA CC cá rô phi (20-100g), 3li"
"C61260H1E025","E","TA CC cá rô phi (20-100g), 4li"
"C61260L1C025","E","TA CC cá rô phi (20-100g), 2li"
"C61260L1E025","E","TA CC cá rô phi (20-100g), 4li"
"C61260M1C025","E","TA CC cá rô phi (20-100g), 2li"
"C61260V1C025","E","TA CC cá rô phi (20-100g), 2li"
"C61260V1D025","E","TA CC cá rô phi (20-100g), 3li"
"C61260V1E025","E","TA CC cá rô phi (20-100g), 4li"
"C61360C1C025","E","TA CC cá rô phi (100-200g), 2li"
"C61360C1D025","E","TA CC cá rô phi (100-200g), 3li"
"C61360C1E025","E","TA CC cá rô phi (100-200g), 4li"
"C61360C1G025","E","TA CC cá rô phi (100-200g), 6li"
"C61360C1I025","E","TA CC cá rô phi (100-200g), 8li"
"C61360G1D025","E","TA CC cá rô phi (100-200g), 3li"
"C61360G1E025","E","TA CC cá rô phi (100-200g), 4li"
"C61360L1C025","E","TA  CC cá rô phi (100-200g), 2li"
"C61360L1D025","E","TA CC cá rô phi (100-200g), 3li"
"C61360L1E025","E","TA CC cá rô phi (100-200g), 4li"
"C61360L1G025","E","TA CC cá rô phi (100-200g), 6li"
"C61360M1D025","E","TA CC cá rô phi (100-200g), 3li"
"C61360V1C025","E","TA CC cá rô phi (100-200g), 2li"
"C61360V1D025","E","TA CC cá rô phi (100-200g), 3li"
"C61360V1D040","E","TA CC cá rô phi (100-200g), 3li"
"C61360V1E025","E","TA CC cá rô phi (100-200g), 4li"
"C61360V1E040","E","TA CC cá rô phi (100-200g), 4li"
"C61360V1G025","E","TA CC cá rô phi (100-200g), 6li"
"C61360V1G040","E","TA CC cá rô phi (100-200g), 6li"
"C61360V1I025","E","TA CC cá rô phi (100-200g), 8li"
"C61360V1K025","E","TA CC cá rô phi (100-200g), 10li"
"C61460G1E025","E","TA CC cá rô phi (200-500g), 4li"
"C61460L1E025","E","TA CC cá rô phi (100-200g), 4li"
"C61460L1G025","E","TA CC cá rô phi (200-500g), 6li"
"C61460M1E025","E","TA CC cá rô phi (200-500g), 4li"
"C61460M1G025","E","TA CC cá rô phi (200-500g), 6li"
"C61460V1E025","E","TA CC cá rô phi (200-500g), 4li"
"C61460V1G025","E","TA CC cá rô phi (200-500g), 6li"
"C61560V1D025","E","TA CC cá rô phi (>500g), 3li"
"C61560V1E025","E","TA CC cá rô phi (>500g), 4li"
"C61560V1G025","E","TA CC cá rô phi (>500g), 6li"
"C61560V1I025","E","TA CC cá rô phi (>500g), 8li"
"C62560C1D025","E","TA cá da trơn (>500g), 3li"
"C62560C1E025","E","TA cá da trơn (>500g), 4li"
"C62560C1G025","E","TA cá da trơn (>500g), 6li"
"C62560C1I025","E","TA cá da trơn (>500g), 8li"
"C62560C1K025","E","TA cá da trơn (>500g), 10li"
"C62560L1E025","E","TA cá da trơn (>500g), 4li"
"C62560L1G025","E","TA cá da trơn (>500g), 6li"
"C62560V1D025","E","TA cá da trơn (>500g), 3li"
"C62560V1E025","E","TA cá da trơn (>500g), 4li"
"C62560V1G025","E","TA cá da trơn (>500g), 6li"
"C62560V1I025","E","TA cá da trơn (>500g), 8li"
"C62560V1K025","E","TA cá da trơn (>500g), 10li"
"C63060B1M010","E","TA CC cá tra, basa (cá giống<1g) bột"
"C63060C1A610","E","TA CC cá tra, basa (cá giống<1g), 0.6li"
"C63060C1B010","E","TA CC cá tra, basa (cá giống<1g) bột"
"C63060C1M010","E","TA CC cá tra, basa (cá giống<1g) bột"
"C63060C1M110","E","TA CC cá tra, basa (cá giống<1g) m.nhỏ"
"C63060C1M210","E","TA CC cá tra, basa (cá giống<1g) m.lớn"
"C63060G1M010","E","TA CC cá tra, basa (cá giống<1g) bột"
"C63060M1A610","E","TA CC cá tra, basa (cá giống<1g), 0.6li"
"C63060M1M010","E","TA CC cá tra, basa (cá giống<1g) bột"
"C63060M1M110","E","TA CC cá tra, basa (cá giống<1g) m.nhỏ"
"C63060M1M210","E","TA CC cá tra, basa (cá giống<1g) m.lớn"
"C63060V1A610","E","TA CC cá tra, basa (cá giống<1g), 0.6li"
"C63060V1A625","E","TA CC cá tra, basa (cá giống<1g), 0.6li"
"C63060V1B010","E","TA CC cá tra, basa (cá giống<1g) bột"
"C63060V1B025","E","TA CC cá tra, basa (cá giống<1g), 1li"
"C63060V1B525","E","TA CC cá tra, basa (cá giống<1g), 1.5li"
"C63060V1M010","E","TA CC cá tra, basa (cá giống<1g) bột"
"C63060V1M110","E","TA CC cá tra, basa (cá giống<1g) m.nhỏ"
"C63060V1M210","E","TA CC cá tra, basa (cá giống<1g) m.lớn"
"C63160B1B025","E","TA CC cá tra, basa (cá giống 1-5g), 1li"
"C63160B1B525","E","TA CC cá tra, basa (cá giống 1-5g) 1.5li"
