"MATERIAL","LANGU","TXTMD"
"000000000020000082","E","(Do not use) Heo đực loại 3"
"000000000020000083","E","(Do not use) Heo đực loại 4"
"000000000020000084","E","Heo hậu bị loại 1"
"000000000020000085","E","Heo hậu bị loại 2"
"000000000020000086","E","Heo thịt lò mổ ngoài"
"000000000020000087","E","Heo nái loại 1"
"000000000020000088","E","Heo nái loại 2"
"000000000020000089","E","(Do not use) Heo thịt 20-46kg"
"000000000020000090","E","(Do not use) Heo thịt 46-60kg"
"000000000020000091","E","(Do not use) Heo thịt 60-80kg"
"000000000020000092","E","Heo thịt từ 90kg đến dưới 120kg"
"000000000020000093","E","(Do not use) Heo thịt loại"
"000000000020000094","E","(Do not use) Heo thịt từ 150kg đến dưới"
"000000000020000095","E","Hương anise (Tinh dầu hồi)"
"000000000020000096","E","Hương bơ"
"000000000020000097","E","Hương bò 601688"
"000000000020000098","E","Hương braisauce SC427592"
"000000000020000099","E","Hương gà nướng GF111124-5"
"000000000020000100","E","Hương hạt sen MQ-S079"
"000000000020000101","E","Hương khói GF 160219-3-2"
"000000000020000102","E","Hương khói GF110925-1"
"000000000020000103","E","Hương nấm GF150127-1S"
"000000000020000104","E","Hương nước mắm GF090108-1SP"
"000000000020000105","E","Hương paste bò NC-258-GE"
"000000000020000106","E","Hương phô mai 521003C"
"000000000020000107","E","(Do not use) Hương thịt A1285856"
"000000000020000108","E","Hương thịt GF 091210-3"
"000000000020000109","E","Hương thịt HA 408SPM"
"000000000020000110","E","Hương tỏi phi E20000579"
"000000000020000111","E","Hương tôm FLV F88F215"
"000000000020000112","E","Khô gà lá Chanh hàng xá"
"000000000020000113","E","Khoai môn cao"
"000000000020000114","E","Khoai tây"
"000000000020000115","E","Lá chanh"
"000000000020000116","E","Lá húng quế tây (bassil)"
"000000000020000117","E","Lá kinh giới (Oregano)"
"000000000020000118","E","(Do not use) Lá tía tô"
"000000000020000119","E","Lá xạ hương (Thyme)"
"000000000020000120","E","Lòng đỏ trứng vịt muối"
"000000000020000121","E","Màu carthamus"
"000000000020000122","E","Màu Erythorsine"
"000000000020000123","E","Màu sunset yellow"
"000000000020000124","E","Màu Titanium Dioxide"
"000000000020000125","E","Mỡ lưng lạp xưởng nhập khẩu"
"000000000020000126","E","Mỡ lưng xúc xích nhập khẩu"
"000000000020000127","E","Muối iot"
"000000000020000128","E","Muối tinh sấy"
"000000000020000129","E","(Do not use) Nạc vai lạp xưởng nhập khẩu"
"000000000020000130","E","Nạc vai xúc xích nhập khẩu"
"000000000020000131","E","Nấm đông cô"
"000000000020000132","E","Nấm hương"
"000000000020000133","E","Nấm mèo đen"
"000000000020000134","E","Natalac"
"000000000020000135","E","Natri Caseinate (Fodolac SL)"
"000000000020000136","E","(Do not use) Nhũ tương da heo (nhũ bì)"
