subaccount,sub_act,bs_pl,allocate,mapping,bu
"D586BS85C01","D586BS85D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS85D75","D586BS85D75","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS86C01","D586BS86D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS86D71","D586BS86D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS87C01","D586BS87D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D586BS87D71","D586BS87D71","PL","SwineFarm_Lang Viet 2","Lang Viet 2","South 1"
"D587BE02D00","D587BE02D00","PL","Func.Dept_BU Swine South 1_Farms Lang Viet","",""
"D587BF01D00","D587BF01D00","PL","Func.Dept_BU Swine South 1_Farms Lang Viet","",""
"D588B000000","D588B000000","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000B31","D588B000B31","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000B32","D588B000B32","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000B33","D588B000B33","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000C03","D588B000D73","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D00","D588B000D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D10","D588B000D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D30","D588B000D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D50","D588B000D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D73","D588B000D73","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D74","D588B000D74","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D75","D588B000D75","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D76","D588B000D76","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D78","D588B000D76","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D79","D588B000D76","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D80","D588B000D73","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000D81","D588B000D81","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588B000E00","D588B000E00","PL","SwineFarm_Lang Viet Nam","Added Value",""
"D588BA02D00","D588BA02D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
